internship_title,company_name,location,start_date,duration,stipend,Skills,Interests
Content Writing,Media Designs,Delhi,Immediately,3 Months,"₹ 10,000 /month",Database Management,Space Tech
Accounting,Storch Consultancy Private Limited,Gurgaon,Immediately,3 Months,"₹ 10,000-15,000 /month",Cloud Computing,AI
Social Media Marketing,GetinStartup,Work From Home,Immediately,3 Months,"₹ 2,000 /month",C++,Web 3.0
Social Media Marketing,Sociomark,Vashi Navi Mumbai,Immediately,3 Months,"₹ 5,000 /month",C++,Game Development
Business Development (Sales),Laxaar,Work From Home,Immediately,3 Months,"₹ 10,000 /month",Cybersecurity,Augmented Reality
Business Strategy,Vinod Foundation,Work From Home,Immediately,3 Months,"₹ 5,000-14,000 lump sum",Python,Space Tech
Marketing,BTW Visa Services,Pune,Immediately,3 Months,"₹ 4,000 /month",UI/UX Design,Quantum Computing
Human Resources (HR),Marathon Group,Mumbai,Immediately,3 Months,"₹ 7,000 /month",Networking,Cybersecurity
Product Management Trainee,Bizlem Private Limited,Navi Mumbai,Immediately,3 Months,"₹ 7,500 /month",Networking,Web 3.0
Chartered Accountancy (CA),Inciterz,Noida,Immediately,3 Months,"₹ 8,000-10,000 /month",Embedded Systems,Augmented Reality
Human Resources (HR),Plastemart Jobs,Mumbai,Immediately,3 Months,"₹ 8,000 /month",Cybersecurity,AI
Accounting,HaystackAnalytics Private Limited,Mumbai,Immediately,3 Months,"₹ 10,000 /month",UI/UX Design,AI
News Anchoring,VsnapU,Raipur,Immediately,3 Months,"₹ 5,000 /month",UI/UX Design,IoT
Social Media Marketing,Carnama,Vadodara,Immediately,3 Months,"₹ 5,000-10,000 /month",Cybersecurity,Quantum Computing
Business Research,India Infrastructure Publishing Private Limited,Delhi,Immediately,3 Months,"₹ 10,000 /month",UI/UX Design,Cybersecurity
Business Development,MeetUniversity,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Database Management,Data Science
Human Resources (HR),Urja Talents,Mumbai,Immediately,3 Months,"₹ 7,000 /month",UI/UX Design,IoT
Business Development (Sales),Global InfoCloud Private Limited,Pune,Immediately,3 Months,"₹ 7,000 /month",Web Development,Data Science
Digital Marketing,Reto,Hyderabad,Immediately,3 Months,"₹ 10,000 /month",Data Analysis,Open Source
Sales,Voy Media,Hyderabad,Immediately,3 Months,"₹ 8,000 /month",Cloud Computing,Robotics
Technical Content Writing,Intro To Artificial Intelligence,Work From Home,Immediately,3 Months,"₹ 1,000 /month",Cybersecurity,Space Tech
Social Media Strategy & Research,Indian Furniture Mart,Work From Home,Immediately,3 Months,"₹ 5,000-7,000 /month",Data Analysis,Quantum Computing
Marketing,Osmolyte Consultancy,Bangalore,Immediately,3 Months,"₹ 7,000 /month",Data Analysis,AI
Flutter Development,Build With Innovation Private Limited,Work From Home,Immediately,3 Months,"₹ 10,000 /month +  Incentives",Cloud Computing,Augmented Reality
Customer Service,Homebaz,Work From Home,Immediately,3 Months,"₹ 2,000 /month +  Incentives",C++,IoT
Graphic Design,7Box Digital Solutions,Kochi,Immediately,3 Months,"₹ 10,000 /month",Data Analysis,Open Source
Search Engine Optimization (SEO),Graveiens Eduservices Private Limited,Work From Home,Immediately,3 Months,"₹ 6,000 /month",Cybersecurity,AI
Business Development (Sales),Graveiens Eduservices Private Limited,Work From Home,Immediately,3 Months,"₹ 6,000 /month",Data Analysis,Game Development
Motion Graphics,Graveiens Eduservices Private Limited,Work From Home,Immediately,3 Months,"₹ 1,000 /month +  Incentives",Cybersecurity,Augmented Reality
Design,Antarang Foundation,Mumbai,Immediately,3 Months,"₹ 10,000 /month",UI/UX Design,Robotics
Operations & Project Management,Inspacco,Pune,Immediately,3 Months,"₹ 3,000 /month",Data Analysis,Augmented Reality
Story Board Art,Graveiens Eduservices Private Limited,Work From Home,Immediately,3 Months,"₹ 1,000 /month +  Incentives",Web Development,Game Development
International Business Development,Intesome,Work From Home,Immediately,3 Months,"₹ 10,000 /month",UI/UX Design,Quantum Computing
Academic Writing in English,Graveiens Eduservices Private Limited,Work From Home,Immediately,3 Months,"₹ 1,000 /month +  Incentives",Database Management,Quantum Computing
Subject Matter Expert (SME)- Mechanical Engineering,Endeavor Academy,Work From Home,Immediately,3 Months,"₹ 5,000 /month +  Incentives",Database Management,Open Source
Equity Research,Robocapital,Mumbai,Immediately,3 Months,"₹ 7,000 /month",Cybersecurity,Game Development
Human Resources (HR),Phailaav,Delhi,Immediately,3 Months,"₹ 6,000-12,000 /month",Networking,Open Source
Operations,Highway Delite,Work From Home,Immediately,3 Months,"₹ 7,000 /month",Database Management,IoT
Influencer Marketing,Goat And Bull,Mumbai,Immediately,3 Months,"₹ 5,000 /month",Python,Game Development
Content Writing,ThroughBit Technologies Private Limited,Coimbatore,Immediately,3 Months,"₹ 8,000 /month",Python,Web 3.0
Sales,UNC Mart Private Limited,Work From Home,Immediately,3 Months,"₹ 1,000 /month +  Incentives",Machine Learning,Web 3.0
Subject Matter Expert (SME) - Accounting,Endeavor Academy,Work From Home,Immediately,3 Months,"₹ 5,000 /month +  Incentives",Python,Blockchain
"Sales, Marketing & Operation",Natureship,Work From Home,Immediately,3 Months,"₹ 6,000 /month +  Incentives",Networking,Open Source
Management Trainee,XL Management Services,Work From Home,Immediately,3 Months,"₹ 1,000 /month",Data Analysis,Cybersecurity
Human Resources (HR),Balj Services Private Limited,Jaipur,Immediately,3 Months,"₹ 7,000-15,000 /month",C++,AI
Flutter Development,NextGen Techno Ventures Private Limited,Thane,Immediately,3 Months,"₹ 7,000 /month",Data Analysis,AI
E-Commerce Business Management,Elixr Technologies Private Limited,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Data Analysis,Web 3.0
E-Commerce Marketing,Olivia Beauty,Mumbai,Immediately,3 Months,"₹ 10,000 /month",Machine Learning,AI
Corporate Sales,Sarvagrah Technology Private Limited,Jaipur,Immediately,3 Months,"₹ 10,000 /month +  Incentives",Embedded Systems,Robotics
UX/UI Design,Dinesh Suthar,Mira Bhayandar,Immediately,3 Months,"₹ 3,000 /month",Embedded Systems,IoT
Digital Marketing,Bookingace,Gurgaon,Immediately,3 Months,"₹ 5,000-12,000 /month",Java,Web 3.0
Backend Development,GoComet,Bangalore,Immediately,3 Months,"₹ 35,000-55,000 /month",Web Development,IoT
PHP Laravel Development,Woodiewin Technology Private Limited,Work From Home,Immediately,3 Months,"₹ 10,000 /month",C++,Data Science
Artificial Intelligence (AI),Vijayi WFH Technologies Private Limited,Gurgaon,Immediately,3 Months,"₹ 18,000-20,000 /month",Networking,Game Development
2D Animation,Graveiens Eduservices Private Limited,Work From Home,Immediately,3 Months,"₹ 1,000 /month +  Incentives",Machine Learning,Open Source
Graphic Design,VENQ Technologies Private Limited,Work From Home,Immediately,3 Months,"₹ 10,000 /month",Cloud Computing,Space Tech
Business Development (Sales),Trainer Collective,Mumbai,Immediately,3 Months,"₹ 7,000 /month",Python,AI
Investment Analysis,Rogue Opportunities,Ahmedabad,Immediately,3 Months,"₹ 15,000-20,000 /month",C++,Robotics
Executive Assistant,OPTIMERS AQUASOLUTIONS,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Cybersecurity,Open Source
Finance,Megamind Consultants Private Limited,Delhi,Immediately,2 Months,"₹ 10,000-20,000 /month",Python,Open Source
Media & Public Relations (PR),Veritas Reputation PR Private Limited,Mumbai,Immediately,2 Months,"₹ 10,000 /month",Networking,Robotics
Content Development (Physics),Graveiens Eduservices Private Limited,Work From Home,Immediately,2 Months,"₹ 6,000 /month",Java,Cybersecurity
HR,Salahkaar,Pune,Immediately,2 Months,"₹ 3,000 /month",Web Development,Augmented Reality
Marketing & Sales,Pragati Management Consultant,Bangalore,Immediately,2 Months,"₹ 15,000 /month",Database Management,Space Tech
Search Engine Optimization (SEO),Dignitas Digital,Delhi,Immediately,2 Months,"₹ 5,000 /month",Embedded Systems,Space Tech
Social Media Marketing,Sagrika Agrawal,Work From Home,Immediately,2 Months,"₹ 5,000 lump sum",Python,Augmented Reality
Full Stack Mern Development,AICAN Private Limited,Mumbai,Immediately,2 Months,"₹ 5,000-10,000 /month",Cybersecurity,Game Development
Business Development (Sales) Sales for AI Product,RealtyAI,Gurgaon,Immediately,2 Months,"₹ 10,000 /month",C++,Web 3.0
Business Development (Sales),Soatech Solution Private Limited,Bangalore,Immediately,2 Months,"₹ 10,000 /month",Embedded Systems,Quantum Computing
Project Management,Greynn Technologies,Work From Home,Immediately,2 Months,"₹ 1,000 /month",Networking,Space Tech
Social Media- Research And Marketing,Office Of Health Minister,Delhi,Immediately,2 Months,Unpaid,Java,Robotics
HR Recruitment,NowIntern,Work From Home,Immediately,2 Months,"₹ 3,000-6,000 /month",Database Management,Space Tech
Human Resources (HR),Mid-Day,Mumbai,Immediately,2 Months,"₹ 5,000 /month",UI/UX Design,Game Development
PHP Development,Intouch Quality Services Private Limited,Dehradun,Immediately,2 Months,"₹ 6,000 /month",Data Analysis,Quantum Computing
Graphic Design & 3D Design,YoursthatSenior,Bangalore,Immediately,2 Months,"₹ 9,000 /month",C++,Data Science
Digital Marketing Analysis (PPC),Digital Mozarts India Private Limited,Work From Home,Immediately,2 Months,"₹ 5,000-12,000 /month",C++,Game Development
Business Development (Sales),Miecor,Gurgaon,Immediately,2 Months,"₹ 8,000 /month +  Incentives",Web Development,Data Science
Social Media Marketing,Vanilla Skills,Work From Home,Immediately,2 Months,"₹ 3,500 /month",Java,Data Science
Lead Generation,Asraaz Business Solutions,Work From Home,Immediately,2 Months,"₹ 2,000 /month +  Incentives",Networking,Blockchain
Marketing,Mobilous Softech Private Limited,Gurgaon,Immediately,2 Months,"₹ 10,000 /month",C++,Augmented Reality
Digital Marketing,Pinacle Web India,Thane,Immediately,2 Months,"₹ 2,000 /month",Networking,Web 3.0
Human Resources (HR) - Talent Acquisition,Talent500,Hyderabad,Immediately,2 Months,"₹ 22,500 /month",Web Development,Game Development
UX/UI Design,FG Manpower LLP,Mumbai,Immediately,2 Months,"₹ 3,000 /month",Python,Quantum Computing
Human Resources (HR),Pinnacle,Gurgaon,Immediately,2 Months,"₹ 5,000 /month +  Incentives",Embedded Systems,Quantum Computing
Digital Marketing,Make My Visiting Card,Gurgaon,Immediately,2 Months,"₹ 8,000 /month",Python,Augmented Reality
Accounts & Finance,Optimus Resolution,Bidhannagar,Immediately,2 Months,"₹ 5,000-10,000 /month",Embedded Systems,Robotics
Marketing,S3 Infotech Privated Limited,Varanasi,Immediately,2 Months,"₹ 10,000 /month",Java,Robotics
Online Marketing,JV FLUORO INDUSTRIES,Work From Home,Immediately,2 Months,"₹ 1,000 /month +  Incentives",UI/UX Design,Cybersecurity
Social Media Outreach,Spur.fit,Work From Home,Immediately,2 Months,"₹ 1,000 /week",Data Analysis,Web 3.0
Videography,SA Trading Zone,Delhi,Immediately,2 Months,"₹ 4,500 /month +  Incentives",Machine Learning,Web 3.0
Marketing And Research,Aurassist Health PL,Mumbai,Immediately,2 Months,"₹ 6,000 /month",Java,Space Tech
"Subject Matter Expert (Accounts, Mechanical Engineering)",Edu Solutions,Work From Home,Immediately,2 Months,"₹ 3,000-7,500 /month",Cybersecurity,Quantum Computing
Law/Legal,Taxortium Consultants LLP,Delhi,Immediately,2 Months,Unpaid,C++,Augmented Reality
Management Trainee,Clickonik Digital Media Private Limited,Gurgaon,Immediately,2 Months,"₹ 15,000-20,000 /month",Data Analysis,IoT
Business Development (Sales),DigitalCardDbs,Work From Home,Immediately,2 Months,"₹ 1,000 /month +  Incentives",Embedded Systems,Cybersecurity
Business Development (Digital Marketing),Appetiser Pizza,Work From Home,Immediately,2 Months,"₹ 8,000 /month +  Incentives",Cloud Computing,Open Source
Social Media Marketing,ASAP Solutions,Work From Home,Immediately,2 Months,"₹ 2,000-4,000 /month",C++,AI
Inside Travel Sales,TI Infotech Private Limited,Noida,Immediately,2 Months,"₹ 15,000 /month",Web Development,Cybersecurity
Video Editing,Waveform Labs,Work From Home,Immediately,2 Months,"₹ 1,500 /month",Cybersecurity,Data Science
Video Editing,Technocrat United,Work From Home,Immediately,3 Months,"₹ 6,000-8,000 /month",C++,Robotics
Video Editing,SKU Creations,Delhi,Immediately,3 Months,"₹ 10,000 /month",UI/UX Design,Quantum Computing
Pre-Primary Teaching,Yugantar International School,Jaipur,Immediately,3 Months,"₹ 6,000 /month",UI/UX Design,Cybersecurity
Digital Marketing,Home Residency,Delhi,Immediately,3 Months,"₹ 8,000 /month",Networking,Robotics
Digital Marketing & Social Media Marketing,CalAI,Work From Home,Immediately,3 Months,"₹ 3,000 /month",UI/UX Design,Cybersecurity
Sales Consultant,Archiradhi Online Tuitions,Work From Home,Immediately,3 Months,"₹ 1,000 /month +  Incentives",Database Management,Space Tech
Photography,Sewa International,Raipur,Immediately,3 Months,Unpaid,C++,Robotics
Business Development Executive,Demium Research Private Limited,Pune,Immediately,3 Months,"₹ 12,000 /month",Embedded Systems,AI
Sales,Drip Capital,Mumbai,Immediately,3 Months,"₹ 20,000 /month",Web Development,AI
SEO,Wishup Technologies Private Limited,Work From Home,Immediately,3 Months,"₹ 7,000 /month",Java,Data Science
Hindi Content Writing,InstaAstro,Noida,Immediately,3 Months,"₹ 10,000 /month",Cybersecurity,IoT
Video Editing (Shorts & Long),Candidscape,Work From Home,Immediately,3 Months,"₹ 4,500 /month",Python,AI
Business Development (Sales),CENTRUM IMPEX UK LIMITED,Work From Home,Immediately,3 Months,"₹ 18,000 /month",Networking,Quantum Computing
Business Development (Sales),Nex Level Access Floors,Mumbai,Immediately,3 Months,"₹ 5,000 /month +  Incentives",C++,IoT
Backend Development,GrayQuest Education Finance Private Limited,Mumbai,Immediately,3 Months,"₹ 20,000 /month",UI/UX Design,Web 3.0
Business Development (Sales),NextBlock Technologies Private Limited,Work From Home,Immediately,3 Months,"₹ 5,000 /month +  Incentives",UI/UX Design,Open Source
Business Development (Sales),Imagine.io,Gurgaon,Immediately,3 Months,"₹ 25,000 /month",Python,Space Tech
Field Sales,Magicstep Solutions Private Limited,Bhubaneswar,Immediately,3 Months,"₹ 2,000 /month +  Incentives",Cybersecurity,Data Science
Digital Marketing,Anjanajyoti Systems Private Limited,Work From Home,Immediately,3 Months,"₹ 3,000-5,000 /month",C++,AI
Business Development (Sales),Eventsontime Private Limited,Hyderabad,Immediately,3 Months,"₹ 5,000 /month",Cybersecurity,Game Development
Content Writing,The Overseas Consultant,Mumbai,Immediately,3 Months,"₹ 4,000-5,000 /month",Cloud Computing,Cybersecurity
Business Development,Byloop Technologies,Indore,Immediately,3 Months,"₹ 5,000 /month",Python,Blockchain
Graphic Design,The Overseas Consultant,Mumbai,Immediately,3 Months,"₹ 5,000-6,000 /month",C++,AI
UI Development,Celestial Institute Of Technology LLP,Pune,Immediately,3 Months,"₹ 8,000 /month",Data Analysis,AI
Social Media Marketing,BrandTouch & Analytics Private Limited,Mumbai,Immediately,3 Months,"₹ 8,000 /month",Python,Robotics
Sales,Ware Enterprises,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Java,Open Source
Graphic Design,KPAC Marketing,Pune,Immediately,3 Months,"₹ 10,000-14,000 /month",Data Analysis,Blockchain
Business Development Management (Sales),Easemyform,Work From Home,Immediately,3 Months,"₹ 3,000-7,000 /month",Cloud Computing,IoT
Data Analytics,Digite Infotech Private Limited,Bangalore,Immediately,3 Months,"₹ 17,000-20,000 /month",Python,Quantum Computing
Business Development,Yestoideas,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Networking,Quantum Computing
Software Testing,Orufy Technologies,Jaipur,Immediately,3 Months,"₹ 10,000 /month",Web Development,AI
Creative Writing,Euphotic Labs Private Limited,Bangalore,Immediately,3 Months,"₹ 10,000-15,000 /month",Embedded Systems,Open Source
Social Media Marketing,Vaghmi Foundation,Pune,Immediately,3 Months,"₹ 8,000 /month +  Incentives",Embedded Systems,Quantum Computing
Content Writing,AgentInsights,Delhi,Immediately,3 Months,"₹ 3,000-4,000 /month",Machine Learning,Blockchain
Talent Acquisition,Skep IT Systems Private Limited,Bangalore,Immediately,3 Months,"₹ 5,000-10,000 /month",Embedded Systems,Space Tech
Standup Comedy Club Event Management,Gurgaon Comedy Club,Gurgaon,Immediately,3 Months,"₹ 3,000 /month",Java,Space Tech
Telecalling,Steel Shine,Delhi,Immediately,3 Months,"₹ 10,000-15,000 /month",Cybersecurity,IoT
Human Resources (HR),My College Buddy,Delhi,Immediately,3 Months,"₹ 4,000-7,000 /month",UI/UX Design,Quantum Computing
Client Servicing,IndieFolio Network Private Limited,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Embedded Systems,Blockchain
Investment Analyst,CS Ventures,Mumbai,Immediately,3 Months,"₹ 5,000 /month",Cybersecurity,Quantum Computing
Business Development,Corpshaala Private Limited,Bangalore,Immediately,3 Months,"₹ 6,000 /month",Cybersecurity,Blockchain
Graphic Design,DIMENSION PLUS,Mumbai,Immediately,3 Months,"₹ 11,000-12,000 /month",Database Management,Blockchain
SEO Executive,AM Tech Networks,Chandigarh,Immediately,3 Months,"₹ 15,000 /month",Python,Web 3.0
Content Writing (Medical/Science/Pharma/Biology),National Medical Forum,Delhi,Immediately,3 Months,"₹ 10,000 /month",Machine Learning,Robotics
Embroidery,Flamingo Creativity,Work From Home,Immediately,3 Months,"₹ 5,000-15,000 /month",Data Analysis,Game Development
Copywriting,Quantastic Marketing,Thane,Immediately,3 Months,"₹ 4,000-7,000 /month",Python,AI
Market Research,Bistrokart Technology,Gurgaon,Immediately,3 Months,"₹ 15,000 /month",Networking,Open Source
Business Development,Edu-Station,Bangalore,Immediately,3 Months,"₹ 20,000 /month",Embedded Systems,Augmented Reality
MERN Stack Development,IMG Global Infotech Private Limited,Jaipur,Immediately,3 Months,"₹ 6,000-8,000 /month",Networking,Augmented Reality
Search Engine Optimization (SEO),Syzenta,Work From Home,Immediately,3 Months,"₹ 2,000 /month +  Incentives",UI/UX Design,AI
Editorial,QBS Learning,Noida,Immediately,3 Months,"₹ 15,000 /month",Database Management,Quantum Computing
Personal Assistance - Female (to Director),Algoji Enterprises Private Limited,Loni,Immediately,3 Months,"₹ 5,000-12,000 /month",UI/UX Design,Augmented Reality
UI/UX Design,Jewellerskart,Mumbai,Immediately,3 Months,"₹ 10,000 /month",UI/UX Design,IoT
Digital Marketing,TechWhoop,Work From Home,Immediately,3 Months,"₹ 3,000 /month",Embedded Systems,Robotics
Marketing,Boss Naari,Work From Home,Immediately,3 Months,"₹ 2,000 /month +  Incentives",C++,AI
Sales,Leaders Accelerator Hub,Work From Home,Immediately,3 Months,"₹ 5,000 /month +  Incentives",Web Development,Open Source
Performance Marketing,Zomentum,Work From Home,Immediately,3 Months,"₹ 12,000 /month",Embedded Systems,Web 3.0
Video Making (Educational Reels/Youtube),InTouch Innovations,Work From Home,Immediately,3 Months,"₹ 2,000-12,000 /month",Cybersecurity,Blockchain
Trainee - Equity Trading,OFFUTURE UNICORNS LLP,Jaipur,Immediately,3 Months,"₹ 5,000 /month",Web Development,IoT
Telecalling,D2H Property,Mumbai,Immediately,3 Months,"₹ 10,000 /month",Cybersecurity,Quantum Computing
Social Media Growth,Brine,Work From Home,Immediately,3 Months,"₹ 2,500 /month",UI/UX Design,Space Tech
Law/Legal,LawDocs,Work From Home,Immediately,3 Months,Unpaid,UI/UX Design,Quantum Computing
Youtube Management,Testbook,Noida,Immediately,3 Months,"₹ 15,000 /month",UI/UX Design,Augmented Reality
Talent Acquisition,My College Buddy,Delhi,Immediately,3 Months,"₹ 4,000-7,000 /month",Machine Learning,Web 3.0
Graphic Design,Bridcodes Global Private Limited,Kannur,Immediately,3 Months,"₹ 6,000-10,000 /month",Data Analysis,Augmented Reality
Inside Sales,Devise Electronics Private Limited,Pune,Immediately,3 Months,"₹ 10,000 /month",Web Development,Robotics
LinkedIn Technical Writing,Top Talent Bridge,Work From Home,Immediately,3 Months,"₹ 3,000 /month",Java,Space Tech
Human Resources (HR),NextGen Techno Ventures Private Limited,Thane,Immediately,3 Months,"₹ 8,000 /month",Database Management,Web 3.0
Sales Consultant,Satyata Banaras,Work From Home,Immediately,3 Months,"₹ 1,000 /week",Machine Learning,Quantum Computing
Pinterest Management,Chemistry Bench,Work From Home,Immediately,3 Months,"₹ 1,000 /month +  Incentives",Cloud Computing,Cybersecurity
Digital Marketing,SaiyansBM,Work From Home,Immediately,3 Months,"₹ 1,500 /month",Python,Game Development
Content Writing,Subtle Startups,Work From Home,Immediately,3 Months,"₹ 2,000 /month +  Incentives",Database Management,Open Source
LinkedIn Content Writing,Top Talent Bridge,Work From Home,Immediately,3 Months,"₹ 1,000 /month",Database Management,Augmented Reality
Technical Project Coordination,Paathshala Spark,Work From Home,Immediately,3 Months,"₹ 10,000 /month",Java,Space Tech
Digital Marketing,Impact Digital Services Private Limited,Delhi,Immediately,3 Months,"₹ 10,000 /month",Embedded Systems,Open Source
Law/Legal,Dot Legal Private Limited - The Lawgical Buddy,Work From Home,Immediately,3 Months,Unpaid,Java,Web 3.0
Copywriting,Mad About Digital (M.A.D),Bangalore,Immediately,3 Months,"₹ 7,000 /month",C++,Cybersecurity
Sales And Marketing,WhizJuniors,Mumbai,Immediately,3 Months,"₹ 10,000 /month",Networking,Data Science
Social Media Marketing,Ahurei Naturals (Saaras Naturals),Mumbai,Immediately,3 Months,"₹ 15,000 /month",Web Development,Web 3.0
Business Development (Sales),Ambi Felix,Work From Home,Immediately,3 Months,"₹ 3,000-6,000 /month",Java,Space Tech
Digital Marketing,Impresio Studio,Work From Home,Immediately,3 Months,"₹ 5,000-7,000 /month",Machine Learning,Open Source
Subject Matter Expert (SME) - Video Solution,MaVY EduSolution,Work From Home,Immediately,3 Months,"₹ 10,000-20,000 /month",UI/UX Design,Data Science
LinkedIn Content Strategy (B2B),Quizzy,Work From Home,Immediately,3 Months,"₹ 15,000 /month",Machine Learning,Quantum Computing
Messaging,Infinity Magazine,Work From Home,Immediately,3 Months,"₹ 3,000 /month",UI/UX Design,Augmented Reality
Social Media Marketing,Strongarm Solutions,Kakinada,Immediately,3 Months,"₹ 10,000 /month",Web Development,Space Tech
Relationship Management,Thinksonic Technologies Private Limited (i2v.in),Noida,Immediately,3 Months,"₹ 10,000 /month",Python,AI
Full Stack Development,Transvision Solutions,Work From Home,Immediately,3 Months,"₹ 16,500 /month",Embedded Systems,Web 3.0
WordPress Development,Hostcode Lab,Bhubaneswar,Immediately,3 Months,"₹ 4,000-8,500 /month",Cybersecurity,Data Science
Graphic Design,Sobeska,Work From Home,Immediately,3 Months,"₹ 2,000 /month +  Incentives",Web Development,Open Source
Digital Marketing,Genix Computers,Work From Home,Immediately,3 Months,"₹ 3,000-6,000 /month",Data Analysis,Augmented Reality
Social Media Marketing,PaprClip,Work From Home,Immediately,3 Months,"₹ 4,000 /month",Python,AI
Digital Marketing,Tech Company,Work From Home,Immediately,3 Months,"₹ 3,000 /month",Python,Robotics
YouTube News Anchoring,Hind Ki Pukaar,Hyderabad,Immediately,3 Months,"₹ 2,000 /month",Machine Learning,Cybersecurity
Business Development (Sales),3Mark Services,Hyderabad,Immediately,3 Months,"₹ 10,000 /month",Database Management,Quantum Computing
Technical Recruitment,ECrown Services,Mohali,Immediately,3 Months,"₹ 3,000 /month +  Incentives",UI/UX Design,Quantum Computing
WordPress Development,Wellfounded IT Solution Private Limited,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Embedded Systems,Blockchain
Search Engine Optimization (SEO),Raising Children 101,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Networking,Data Science
Python Data Engineering (For 2024 Graduates Only),Primenumbers Technologies,Work From Home,Immediately,3 Months,"₹ 25,000 /month",C++,Data Science
Graphic Design,Vp Development,Delhi,Immediately,3 Months,"₹ 7,000 /month",Cloud Computing,Augmented Reality
Graphic Design,Smapit Media (OPC) Private Limited,Work From Home,Immediately,3 Months,"₹ 5,000-7,000 /month",Machine Learning,Augmented Reality
Flutter Development,Firstricoz Private Limited,Work From Home,Immediately,3 Months,"₹ 3,000 /month",Networking,Augmented Reality
Social Media Marketing,Gewels By Mona,Mumbai,Immediately,3 Months,"₹ 8,000-10,000 /month",Database Management,Open Source
Direction Assistance,Mifa Productions,Delhi,Immediately,3 Months,"₹ 4,000 /month",C++,Blockchain
Teaching,My Story,Work From Home,Immediately,3 Months,Unpaid,Machine Learning,Data Science
Android App Development,Infobyte Technologies,Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives",UI/UX Design,IoT
Digital Marketing,Wybe Tech,Work From Home,Immediately,3 Months,"₹ 4,000 /month",UI/UX Design,Robotics
Web Development,Digital Word Of Mouth (WoM),Visakhapatnam,Immediately,3 Months,"₹ 8,000 /month",Data Analysis,Web 3.0
Social Media Marketing,Sticky India,South,Immediately,3 Months,"₹ 7,000 /month",Machine Learning,Robotics
Content Writing & Digital Marketing,Champu,Work From Home,Immediately,3 Months,"₹ 10,000 /month",Cybersecurity,IoT
Graphic Design,Host2Unlimited,Thane,Immediately,3 Months,"₹ 8,000-12,000 /month",UI/UX Design,IoT
Video Making/Editing,SKC World,Delhi,Immediately,3 Months,"₹ 20,000-25,000 /month",Web Development,Augmented Reality
Digital Marketing,Yuvraj Verma,Work From Home,Immediately,3 Months,"₹ 1,000-2,000 /month",Networking,Quantum Computing
WordPress Developer,Bootstrap Digital Solutions,Delhi,Immediately,3 Months,"₹ 5,000-10,000 /month",C++,Data Science
Volunteering,Seetaram Foundation,Jaipur,Immediately,3 Months,Unpaid,Embedded Systems,AI
Front End Development,AIMonk Labs Technology Limited,Work From Home,Immediately,3 Months,"₹ 25,000 /month",Embedded Systems,AI
Video Editing,Dietichen,Work From Home,Immediately,3 Months,"₹ 1,000 /month",C++,IoT
Web Development,Pixell,Work From Home,Immediately,3 Months,"₹ 10,000 /month",Java,Robotics
Digital Marketing,Global Research Association,Work From Home,Immediately,3 Months,"₹ 1,000 /month +  Incentives",Machine Learning,Quantum Computing
Medicine & Pharmacy,Center For International Promotion Of Sports & Arts (CIPSA),Pune,Immediately,3 Months,"₹ 2,500 /month",Python,Open Source
Fundraising,HelpAndHygiene For All Foundation (Free Pads For India),Work From Home,Immediately,3 Months,Unpaid,Machine Learning,Augmented Reality
Social Media Marketing,Brand-it Consultancy (CSK Speaks),Work From Home,Immediately,6 Months,"₹ 5,000-7,500 /month",C++,Space Tech
Database Building/Management,Eastcommerce Marketplace LLC,Work From Home,Immediately,6 Months,"₹ 5,000 /month",Python,Web 3.0
Business Development (Sales),PayrollCloud Private Limited,Dehradun,Immediately,6 Months,"₹ 10,000 /month",Machine Learning,Robotics
Architecture,Sthetic Studio,Mumbai,Immediately,6 Months,"₹ 7,000-15,000 /month",Java,Cybersecurity
Sales & Marketing,OpenGrowth,Work From Home,Immediately,6 Months,"₹ 8,000-12,000 /month",Database Management,Game Development
R&D - Power Electronics And Drives,Greendzine Technologies,Bangalore,Immediately,6 Months,"₹ 18,000 /month",Cloud Computing,Robotics
Web App Development,Greendzine Technologies,Bangalore,Immediately,6 Months,"₹ 18,000 /month",Web Development,Robotics
Product Design - Electronics Engineering,Greendzine Technologies,Bangalore,Immediately,6 Months,"₹ 18,000 /month",Networking,Augmented Reality
Embedded Systems - Firmware Development,Greendzine Technologies,Bangalore,Immediately,6 Months,"₹ 18,000 /month",Cloud Computing,IoT
R&D - Robotics - Autonomous Navigation,Greendzine Technologies,Bangalore,Immediately,6 Months,"₹ 18,000 /month",Data Analysis,Space Tech
Social Media Management,PassionMojo Private Limited,Work From Home,Immediately,6 Months,"₹ 2,000-3,000 /month",Machine Learning,IoT
Business Analytics & Optimization,Tercept Incorporation,Bangalore,Immediately,6 Months,"₹ 20,000 /month",Cybersecurity,Augmented Reality
Full Stack Web Development,Nishant Sah,Work From Home,Immediately,6 Months,"₹ 5,000-10,000 /month",Machine Learning,Space Tech
